ts,occ,bid,ask
1787234276.281,NBIS260821P00205000,2.4000,2.4800
1787234277.288,NBIS260821P00205000,2.4000,2.4900
1787234278.354,NBIS260821P00205000,2.4000,2.4900
1787234279.464,NBIS260821P00205000,2.4000,2.4900
1787234280.356,NBIS260821P00205000,2.4000,2.4900
1787234281.729,NBIS260821P00205000,2.4000,2.5100
1787234282.032,NBIS260821P00205000,2.4000,2.5100
1787234283.259,NBIS260821P00205000,2.4100,2.5500
1787234284.022,NBIS260821P00205000,2.4100,2.5500
1787234285.059,NBIS260821P00205000,2.4100,2.5600
1787234286.167,NBIS260821P00205000,2.4000,2.5600
1787234287.020,NBIS260821P00205000,2.4000,2.5300
1787234288.167,NBIS260821P00205000,2.4700,2.6100
1787234289.032,NBIS260821P00205000,2.4700,2.6300
1787234290.018,NBIS260821P00205000,2.4700,2.6300
1787234291.059,NBIS260821P00205000,2.4600,2.5900
1787234292.048,NBIS260821P00205000,2.3600,2.5000
1787234293.012,NBIS260821P00205000,2.3100,2.4500
1787234294.016,NBIS260821P00205000,2.2600,2.4100
1787234295.041,NBIS260821P00205000,2.3300,2.4800
1787234296.003,NBIS260821P00205000,2.3300,2.4600
1787234297.021,NBIS260821P00205000,2.2900,2.4400
1787234298.142,NBIS260821P00205000,2.2900,2.4400
1787234299.039,NBIS260821P00205000,2.3100,2.4400
1787234300.023,NBIS260821P00205000,2.3100,2.4800
1787234301.077,NBIS260821P00205000,2.3600,2.5200
1787234302.040,NBIS260821P00205000,2.4100,2.5400
1787234303.006,NBIS260821P00205000,2.2900,2.4600
1787234304.284,NBIS260821P00205000,2.3400,2.5000
1787234305.002,NBIS260821P00205000,2.3400,2.5000
1787234306.226,NBIS260821P00205000,2.2700,2.4600
1787234307.337,NBIS260821P00205000,2.2700,2.4600
1787234308.283,NBIS260821P00205000,2.3700,2.5500
1787234309.811,NBIS260821P00205000,2.3700,2.5500
1787234310.052,NBIS260821P00205000,2.3700,2.5500
1787234312.037,NBIS260821P00205000,2.3700,2.5500
1787234313.018,NBIS260821P00205000,2.3700,2.5400
1787234314.022,NBIS260821P00205000,2.3900,2.5400
1787234315.053,NBIS260821P00205000,2.3900,2.4900
1787234317.383,NBIS260821P00205000,2.3000,2.4900
1787234318.063,NBIS260821P00205000,2.3000,2.4900
1787234319.103,NBIS260821P00205000,2.3000,2.4800
1787234320.060,NBIS260821P00205000,2.3000,2.4400
1787234321.032,NBIS260821P00205000,2.1100,2.3200
1787234322.072,NBIS260821P00205000,2.1900,2.3000
1787234323.209,NBIS260821P00205000,2.1900,2.3500
1787234324.026,NBIS260821P00205000,2.1900,2.3500
1787234325.043,NBIS260821P00205000,2.1900,2.3500
1787234326.014,NBIS260821P00205000,2.1900,2.3400
1787234327.004,NBIS260821P00205000,2.2000,2.3800
1787234328.280,NBIS260821P00205000,2.2000,2.3700
1787234329.907,NBIS260821P00205000,2.2000,2.3700
1787234330.050,NBIS260821P00205000,2.2000,2.3700
1787234331.003,NBIS260821P00205000,2.2000,2.3600
1787234332.069,NBIS260821P00205000,2.2000,2.3600
1787234333.038,NBIS260821P00205000,2.2100,2.3900
1787234334.051,NBIS260821P00205000,2.2500,2.3800
1787234335.568,NBIS260821P00205000,2.2500,2.3800
1787234336.170,NBIS260821P00205000,2.2000,2.3300
