ts,o,h,l,c
1788356380,458.9900,458.9900,458.9900,458.9900
1788356383,459.1000,459.1000,459.1000,459.1000
1788356384,459.1100,459.2500,459.1000,459.2500
1788356385,459.1900,459.1900,459.1900,459.1900
1788356387,459.2700,459.2700,459.2600,459.2600
1788356392,459.3900,459.5600,459.3900,459.5600
1788356394,459.4000,459.5200,459.4000,459.5200
1788356396,459.5800,459.7700,459.5800,459.6000
1788356398,459.6900,459.9000,459.6900,459.8800
1788356399,459.9200,459.9200,459.9200,459.9200
1788356400,459.9800,460.2000,459.9300,460.0600
1788356401,460.0100,460.0100,459.9200,459.9200
1788356402,459.9200,459.9200,459.9100,459.9100
1788356403,459.8900,459.8900,459.8600,459.8600
1788356404,459.7700,459.7700,459.6400,459.6400
1788356406,459.7800,459.7800,459.7800,459.7800
1788356407,459.9300,460.1200,459.9200,459.9900
1788356409,459.8250,459.8250,459.8250,459.8250
1788356411,459.8700,460.0500,459.8700,460.0500
1788356412,460.1600,460.1600,460.1400,460.1400
1788356413,460.0550,460.0550,459.8800,459.8800
1788356414,460.0000,460.0150,459.9400,459.9400
1788356415,459.9500,460.0200,459.9500,460.0200
1788356416,460.0000,460.0800,460.0000,460.0800
1788356417,460.0250,460.0600,460.0250,460.0600
1788356419,460.0100,460.0100,460.0100,460.0100
1788356420,459.9500,460.0800,459.9500,460.0800
1788356422,460.0700,460.0700,460.0700,460.0700
1788356425,460.1000,460.2700,460.1000,460.2700
1788356426,460.3000,460.3500,460.3000,460.3500
1788356427,460.2900,460.2900,460.2300,460.2300
1788356430,460.2600,460.3400,460.1900,460.1900
1788356431,460.3900,460.3900,460.3900,460.3900
1788356433,460.2400,460.2400,460.2400,460.2400
1788356434,460.2400,460.2400,460.2400,460.2400
1788356436,460.1700,460.1700,460.1700,460.1700
1788356438,460.2500,460.2500,460.1100,460.1100
1788356439,460.2300,460.2300,460.1900,460.1900
1788356441,460.1000,460.1000,460.0700,460.0700
1788356443,460.0000,460.0000,459.9800,459.9800
1788356446,460.0500,460.0800,460.0500,460.0500
1788356447,460.0000,460.0000,460.0000,460.0000
1788356448,459.9400,459.9900,459.9400,459.9900
1788356452,459.8600,459.8600,459.8600,459.8600
1788356453,459.8000,459.8000,459.8000,459.8000
1788356455,459.7600,459.8600,459.5550,459.8600
1788356456,459.8100,459.8100,459.7700,459.7700
1788356457,459.7400,459.7400,459.7300,459.7300
1788356458,459.7000,459.8400,459.7000,459.8400
1788356461,459.7200,459.7200,459.7200,459.7200
1788356462,459.6300,459.7400,459.6200,459.7100
1788356465,459.6700,459.6700,459.5400,459.5400
1788356466,459.6200,459.6200,459.6200,459.6200
1788356472,459.6200,459.6200,459.5200,459.5200
1788356473,459.5000,459.7000,459.5000,459.7000
1788356477,459.6950,459.7500,459.6950,459.7500
1788356478,459.8600,460.3600,459.8600,460.3600
1788356482,460.3800,460.5000,460.3800,460.5000
1788356483,460.5000,460.5400,460.5000,460.5400
1788356484,460.5700,460.5800,460.5700,460.5800
1788356486,460.5000,460.5800,460.5000,460.5800
1788356487,460.6000,460.6000,460.5500,460.5500
1788356488,460.6600,460.6600,460.6600,460.6600
1788356489,460.6400,460.6400,460.6400,460.6400
